상품명,브랜드/판매자,가격,배송정보,평점정보,성분정보,링크,이미지URL,텍스트
앉아바 덴탈껌 눈 20개입,앉아바,"9,900원",대통령배송,"5
(4)",,https://dogpre.com/product/105606,https://img.funnc.com/mobile/dogpre/product/106/105606_list_L1_01892230.jpg,"앉아바
앉아바 덴탈껌 눈 20개입
9,900원
대통령배송
5
(4)"
우리주 이뽀이뽀 치카껌 혼합 50개입,우리주,"24,800원",무료배송,"5
(43)",,https://dogpre.com/product/106016,https://img.funnc.com/mobile/dogpre/product/107/106016_list_L1_01551917.jpg,"우리주
우리주 이뽀이뽀 치카껌 혼합 50개입
24,800원
무료배송
5
(43)"
아껴줄게 유산균껌 황태 혼합 140g,아껴줄게,"6,000원",대통령배송,"4.9
(21)",,https://dogpre.com/product/102402,https://img.funnc.com/mobile/dogpre/product/103/102402_list_L1_01069006.png,"아껴줄게
아껴줄게 유산균껌 황태 혼합 140g
6,000원
대통령배송
4.9
(21)"
양치하개 덴탈케어 M 14개입,양치하개,"8,400원",대통령배송,"4.6
(31)",,https://dogpre.com/product/81503,https://img.funnc.com/mobile/dogpre/product/82/81503_list_L1_01191510.png,"양치하개
양치하개 덴탈케어 M 14개입
8,400원
대통령배송
4.6
(31)"
전설의개껌 고구마돈피 10개입,전설의개껌,"3,000원",대통령배송,"4.5
(1,729)",,https://dogpre.com/product/47072,https://img.funnc.com/mobile/dogpre/product/48/47072_list_L1_01623569.png,"전설의개껌
전설의개껌 고구마돈피 10개입
3,000원
대통령배송
4.5
(1,729)"
너를위한 디저트 오래먹는 도너츠껌 소고기 2개입,너를위한디저트,"3,000원",대통령배송,"5
(19)",,https://dogpre.com/product/104673,https://img.funnc.com/mobile/dogpre/product/105/104673_list_L1_01907615.jpeg,"너를위한디저트
너를위한 디저트 오래먹는 도너츠껌 소고기 2개입
3,000원
대통령배송
5
(19)"
엘리야 덴탈링 100g,엘리야,"7,500원",대통령배송,"4.4
(59)",,https://dogpre.com/product/88641,https://img.funnc.com/mobile/dogpre/product/89/88641_list_L1_07385400.png,"엘리야
엘리야 덴탈링 100g
14,500원
20% 7,500원
대통령배송
4.4
(59)"
파머스러브펫 덴탈 캐롯츄 12개입,파머스러브펫,"9,900원",대통령배송,"4.9
(81)",,https://dogpre.com/product/104219,https://img.funnc.com/mobile/dogpre/product/105/104219_list_L1_01425845.png,"파머스러브펫
파머스러브펫 덴탈 캐롯츄 12개입
9,900원
대통령배송
4.9
(81)"
고기랑 껌이랑 오리 8개입,헤세드요셉,"2,300원",대통령배송,"4.8
(10)",,https://dogpre.com/product/105864,https://img.funnc.com/mobile/dogpre/product/106/105864_list_L1_01900864.jpg,"헤세드요셉
고기랑 껌이랑 오리 8개입
2,300원
대통령배송
4.8
(10)"
잘먹잘싸 황금 덴탈껌 300g 2묶음,잘먹잘싸,"27,540원",무료배송,"4.9
(89)",,https://dogpre.com/product/97538,https://img.funnc.com/mobile/dogpre/product/98/97538_list_L1_01554899.png,"잘먹잘싸
잘먹잘싸 황금 덴탈껌 300g 2묶음
39,700원
22% 27,540원
무료배송
4.9
(89)"
THINK YOUR DOG TEETH 연어 우유껌 스틱 20개입,THINK YOUR DOG TEETH,"7,900원",대통령배송,"5
(1)",,https://dogpre.com/product/106464,https://img.funnc.com/mobile/dogpre/product/107/106464_list_L1_01710706.png,"THINK YOUR DOG TEETH
THINK YOUR DOG TEETH 연어 우유껌 스틱 20개입
7,900원
대통령배송
5
(1)"
츄통령 덴탈츄 오리지널 30개입 450g,츄통령,"18,900원",대통령배송,"4.9
(120)",,https://dogpre.com/product/104418,https://img.funnc.com/mobile/dogpre/product/105/104418_list_L1_01799242.png,"츄통령
츄통령 덴탈츄 오리지널 30개입 450g
18,900원
대통령배송
4.9
(120)"
프리시즌 딩고껌 소고기 스틱 30개입,프리시즌,"6,500원",대통령배송,"4.8
(75)",,https://dogpre.com/product/101364,https://img.funnc.com/mobile/dogpre/product/102/101364_list_L1_01589762.png,"프리시즌
프리시즌 딩고껌 소고기 스틱 30개입
6,500원
대통령배송
4.8
(75)"
덴탈헬스 민트향 60g,덴탈헬스,"1,700원",대통령배송,"4.6
(17,103)",,https://dogpre.com/product/16116?bundleOptionId=157698,https://img.funnc.com/mobile/dogpre/product/17/16116_list_L1_0615.png,"덴탈헬스
덴탈헬스 민트향 60g
1,700원
10개 구매 시 개당 1,540원
대통령배송
4.6
(17,103)"
로렌츠 못난이 당근껌 21개입,로렌츠,"29,800원",대통령배송,"4.9
(89)",,https://dogpre.com/product/101178,https://img.funnc.com/mobile/dogpre/product/102/101178_list_L1_01674693.png,"로렌츠
로렌츠 못난이 당근껌 21개입
29,800원
대통령배송
4.9
(89)"
리틀달링 오리껌 스틱 60g,리틀달링,"1,000원",대통령배송,"4.8
(4,758)",,https://dogpre.com/product/55368?bundleOptionId=158183,https://img.funnc.com/mobile/dogpre/product/56/55368_list_L1_0663.png,"리틀달링
리틀달링 오리껌 스틱 60g
1,000원
4개 구매 시 개당 962원
대통령배송
4.8
(4,758)"
네이쳐스 본 오리껌 20개입,네이쳐스본,"6,500원",대통령배송,"4.8
(3,236)",,https://dogpre.com/product/57301?bundleOptionId=,https://img.funnc.com/mobile/dogpre/product/58/57301_list_L1_5546.png,"네이쳐스본
네이쳐스 본 오리껌 20개입
6,500원
대통령배송
4.8
(3,236)"
카누들 플러스 덴탈껌 S 소형견용 100개입,카누들,"36,000원",대통령배송,"4.9
(11,555)",,https://dogpre.com/product/84362,https://img.funnc.com/mobile/dogpre/product/85/84362_list_L1_01313449.png,"카누들
카누들 플러스 덴탈껌 S 소형견용 100개입
36,000원
대통령배송
4.9
(11,555)"
카리에스 덴탈껌 6개입,카리에스,"1,950원",대통령배송,"4.6
(57,603)",,https://dogpre.com/product/3510?bundleOptionId=157949,https://img.funnc.com/mobile/dogpre/product/4/3510_list_L1_5623.png,"카리에스
카리에스 덴탈껌 6개입
1,950원
10개 구매 시 개당 1,780원
대통령배송
4.6
(57,603)"
구루머스 치킨 우유껌 7개입,구루머스,"1,800원",대통령배송,"4.7
(13,262)",,https://dogpre.com/product/18984?bundleOptionId=158051,https://img.funnc.com/mobile/dogpre/product/19/18984_list_L1_8685.png,"구루머스
구루머스 치킨 우유껌 7개입
1,800원
8개 구매 시 개당 1,650원
대통령배송
4.7
(13,262)"
츄통령 덴탈츄 블루베리 30개입 450g,츄통령,"18,900원",대통령배송,"4.8
(1,852)",,https://dogpre.com/product/102223,https://img.funnc.com/mobile/dogpre/product/103/102223_list_L1_06247524.png,"츄통령
츄통령 덴탈츄 블루베리 30개입 450g
18,900원
대통령배송
4.8
(1,852)"
[유통기한 25.07.18]네츄럴랩 치카치카 우유 치실껌 M 3개입,네츄럴랩,"3,500원",대통령배송,"4.8
(17)",,https://dogpre.com/product/106845,https://img.funnc.com/mobile/dogpre/product/107/106845_list_L1_01105257.png,"네츄럴랩
[유통기한 25.07.18]네츄럴랩 치카치카 우유 치실껌 M 3개입
3,500원
대통령배송
4.8
(17)"
펫매트릭스 스마트본 덴탈 미니 8개입,펫매트릭스,"5,200원",대통령배송,"4.8
(46)",,https://dogpre.com/product/106600,https://img.funnc.com/mobile/dogpre/product/107/106600_list_L1_01498449.jpg,"펫매트릭스
펫매트릭스 스마트본 덴탈 미니 8개입
5,200원
대통령배송
4.8
(46)"
댕이네맛집 고기껌 소고기 8개입 4묶음,댕이네맛집,"6,000원",대통령배송,"5
(5)",,https://dogpre.com/product/101433?bundleOptionId=282062,https://img.funnc.com/mobile/dogpre/product/102/101433_list_L1_01388877.png,"댕이네맛집
댕이네맛집 고기껌 소고기 8개입 4묶음
6,000원
대통령배송
5
(5)"
댕이네맛집 고기껌 연어 8개입 4묶음,댕이네맛집,"6,000원",대통령배송,"5
(14)",,https://dogpre.com/product/101434?bundleOptionId=282060,https://img.funnc.com/mobile/dogpre/product/102/101434_list_L1_01924189.png,"댕이네맛집
댕이네맛집 고기껌 연어 8개입 4묶음
6,000원
대통령배송
5
(14)"
