상품명,브랜드/판매자,가격,배송정보,평점정보,성분정보,링크,이미지URL,텍스트
마이베프 많이담은 건조간식 닭가슴살 300g,마이베프,"14,900원",대통령배송,"4.8
(104)",,https://dogpre.com/product/94039,https://img.funnc.com/mobile/dogpre/product/95/94039_list_L1_01487444.png,"마이베프
마이베프 많이담은 건조간식 닭가슴살 300g
14,900원
대통령배송
4.8
(104)"
츄통령 바삭츄 미니트릿 동결건조 닭가슴살 50g,츄통령,"9,000원",대통령배송,"5
(11)",,https://dogpre.com/product/104938?bundleOptionId=265795,https://img.funnc.com/mobile/dogpre/product/105/104938_list_L1_01821448.png,"츄통령
츄통령 바삭츄 미니트릿 동결건조 닭가슴살 50g
9,000원
5개 구매 시 개당 8,500원
대통령배송
5
(11)"
[버라이어티팩] 츄통령 바삭츄 동결건조 미니트릿 3종 세트,츄통령,"28,900원",대통령배송,"4.6
(8)",,https://dogpre.com/product/105043,https://img.funnc.com/mobile/dogpre/product/106/105043_list_L1_01743746.png,"츄통령
[버라이어티팩] 츄통령 바삭츄 동결건조 미니트릿 3종 세트
28,900원
대통령배송
4.6
(8)"
츄통령 바삭츄 미니트릿 동결건조 북어 40g,츄통령,"9,800원",대통령배송,"5
(9)",,https://dogpre.com/product/104940?bundleOptionId=265801,https://img.funnc.com/mobile/dogpre/product/105/104940_list_L1_01817669.png,"츄통령
츄통령 바삭츄 미니트릿 동결건조 북어 40g
9,800원
5개 구매 시 개당 9,300원
대통령배송
5
(9)"
츄통령 바삭츄 미니트릿 동결건조 순살연어 45g,츄통령,"12,000원",대통령배송,"4.7
(7)",,https://dogpre.com/product/104939?bundleOptionId=265798,https://img.funnc.com/mobile/dogpre/product/105/104939_list_L1_01753831.png,"츄통령
츄통령 바삭츄 미니트릿 동결건조 순살연어 45g
16,000원
20% 12,000원
5개 구매 시 개당 11,400원
대통령배송
4.7
(7)"
츄통령 바삭츄 동결건조 열빙어 65g,츄통령,"13,000원",대통령배송,"4.9
(834)",,https://dogpre.com/product/82075,https://img.funnc.com/mobile/dogpre/product/83/82075_list_L1_01924139.png,"츄통령
츄통령 바삭츄 동결건조 열빙어 65g
13,000원
대통령배송
4.9
(834)"
츄통령 바삭츄 동결건조 닭가슴살 대용량 100g,츄통령,"15,000원",대통령배송,"4.9
(2,264)",,https://dogpre.com/product/89795?bundleOptionId=201538,https://img.funnc.com/mobile/dogpre/product/90/89795_list_L1_01586375.png,"츄통령
츄통령 바삭츄 동결건조 닭가슴살 대용량 100g
15,000원
5개 구매 시 개당 14,200원
대통령배송
4.9
(2,264)"
츄통령 바삭츄 동결건조 순살연어 대용량 85g,츄통령,"18,000원",대통령배송,"4.9
(2,264)",,https://dogpre.com/product/89794?bundleOptionId=201574,https://img.funnc.com/mobile/dogpre/product/90/89794_list_L1_01642253.png,"츄통령
츄통령 바삭츄 동결건조 순살연어 대용량 85g
18,000원
5개 구매 시 개당 17,200원
대통령배송
4.9
(2,264)"
[베스트팩] 츄통령 바삭츄 동결건조 대용량 2종 콤보,츄통령,"24,900원",대통령배송,"5
(45)",,https://dogpre.com/product/100338,https://img.funnc.com/mobile/dogpre/product/101/100338_list_L1_01859786.png,"츄통령
[베스트팩] 츄통령 바삭츄 동결건조 대용량 2종 콤보
24,900원
대통령배송
5
(45)"
츄통령 바삭츄 동결건조 산양유치즈 23g,츄통령,"3,900원",대통령배송,"4.8
(2,364)",,https://dogpre.com/product/82078?bundleOptionId=255801,https://img.funnc.com/mobile/dogpre/product/83/82078_list_L1_01337219.png,"츄통령
츄통령 바삭츄 동결건조 산양유치즈 23g
3,900원
6개 구매 시 개당 1,790원
대통령배송
4.8
(2,364)"
