상품명,브랜드/판매자,가격,배송정보,평점정보,성분정보,링크,이미지URL,텍스트
앉아바 덴탈껌 눈 20개입,앉아바,"9,900원",대통령배송,"5
(4)",,https://dogpre.com/product/105606,https://img.funnc.com/mobile/dogpre/product/106/105606_list_L1_01892230.jpg,"앉아바
앉아바 덴탈껌 눈 20개입
9,900원
대통령배송
5
(4)"
양치하개 덴탈케어 M 14개입,양치하개,"8,400원",대통령배송,"4.6
(31)",,https://dogpre.com/product/81503,https://img.funnc.com/mobile/dogpre/product/82/81503_list_L1_01191510.png,"양치하개
양치하개 덴탈케어 M 14개입
8,400원
대통령배송
4.6
(31)"
엘리야 덴탈링 100g,엘리야,"7,500원",대통령배송,"4.4
(59)",,https://dogpre.com/product/88641,https://img.funnc.com/mobile/dogpre/product/89/88641_list_L1_07385400.png,"엘리야
엘리야 덴탈링 100g
14,500원
20% 7,500원
대통령배송
4.4
(59)"
파머스러브펫 덴탈 캐롯츄 12개입,파머스러브펫,"9,900원",대통령배송,"4.9
(81)",,https://dogpre.com/product/104219,https://img.funnc.com/mobile/dogpre/product/105/104219_list_L1_01425845.png,"파머스러브펫
파머스러브펫 덴탈 캐롯츄 12개입
9,900원
대통령배송
4.9
(81)"
잘먹잘싸 황금 덴탈껌 300g 2묶음,잘먹잘싸,"27,540원",무료배송,"4.9
(89)",,https://dogpre.com/product/97538,https://img.funnc.com/mobile/dogpre/product/98/97538_list_L1_01554899.png,"잘먹잘싸
잘먹잘싸 황금 덴탈껌 300g 2묶음
39,700원
22% 27,540원
무료배송
4.9
(89)"
츄통령 덴탈츄 오리지널 30개입 450g,츄통령,"18,900원",대통령배송,"4.9
(120)",,https://dogpre.com/product/104418,https://img.funnc.com/mobile/dogpre/product/105/104418_list_L1_01799242.png,"츄통령
츄통령 덴탈츄 오리지널 30개입 450g
18,900원
대통령배송
4.9
(120)"
덴탈헬스 민트향 60g,덴탈헬스,"1,700원",대통령배송,"4.6
(17,103)",,https://dogpre.com/product/16116?bundleOptionId=157698,https://img.funnc.com/mobile/dogpre/product/17/16116_list_L1_0615.png,"덴탈헬스
덴탈헬스 민트향 60g
1,700원
10개 구매 시 개당 1,540원
대통령배송
4.6
(17,103)"
카누들 플러스 덴탈껌 S 소형견용 100개입,카누들,"36,000원",대통령배송,"4.9
(11,555)",,https://dogpre.com/product/84362,https://img.funnc.com/mobile/dogpre/product/85/84362_list_L1_01313449.png,"카누들
카누들 플러스 덴탈껌 S 소형견용 100개입
36,000원
대통령배송
4.9
(11,555)"
카리에스 덴탈껌 6개입,카리에스,"1,950원",대통령배송,"4.6
(57,603)",,https://dogpre.com/product/3510?bundleOptionId=157949,https://img.funnc.com/mobile/dogpre/product/4/3510_list_L1_5623.png,"카리에스
카리에스 덴탈껌 6개입
1,950원
10개 구매 시 개당 1,780원
대통령배송
4.6
(57,603)"
츄통령 덴탈츄 블루베리 30개입 450g,츄통령,"18,900원",대통령배송,"4.8
(1,852)",,https://dogpre.com/product/102223,https://img.funnc.com/mobile/dogpre/product/103/102223_list_L1_06247524.png,"츄통령
츄통령 덴탈츄 블루베리 30개입 450g
18,900원
대통령배송
4.8
(1,852)"
