상품명,브랜드/판매자,가격,배송정보,평점정보,성분정보,링크,이미지URL,텍스트
프레시탭 잘했어 요거트와 후르츠 트릿 260g 2묶음,프레시탭,"14,000원",무료배송,"5
(1)",,https://dogpre.com/product/103075,https://img.funnc.com/mobile/dogpre/product/104/103075_list_L1_01669106.png,"프레시탭
프레시탭 잘했어 요거트와 후르츠 트릿 260g 2묶음
14,000원
무료배송
5
(1)"
닥터할리 펫 밀크 시니어 200ml,닥터할리,"1,700원",대통령배송,"4.8
(998)",,https://dogpre.com/product/51723?bundleOptionId=164929,https://img.funnc.com/mobile/dogpre/product/52/51723_list_L1_01192076.png,"닥터할리
닥터할리 펫 밀크 시니어 200ml
2,500원
22% 1,700원
10개 구매 시 개당 1,650원
대통령배송
4.8
(998)"
THINK YOUR DOG TEETH 연어 우유껌 스틱 20개입,THINK YOUR DOG TEETH,"7,900원",대통령배송,"5
(1)",,https://dogpre.com/product/106464,https://img.funnc.com/mobile/dogpre/product/107/106464_list_L1_01710706.png,"THINK YOUR DOG TEETH
THINK YOUR DOG TEETH 연어 우유껌 스틱 20개입
7,900원
대통령배송
5
(1)"
ANF 밀크스틱 27개입,ANF,"6,000원",대통령배송,"4.6
(6,071)",,https://dogpre.com/product/26304?bundleOptionId=160959,https://img.funnc.com/mobile/dogpre/product/27/26304_list_L1_01852784.png,"ANF
ANF 밀크스틱 27개입
6,000원
4개 구매 시 개당 5,800원
대통령배송
4.6
(6,071)"
서울우유 아이펫밀크 180ml 10개입,서울우유,"18,900원",무료배송,"4.8
(10,484)",,https://dogpre.com/product/102719,https://img.funnc.com/mobile/dogpre/product/103/102719_list_L1_01545497.png,"사은품증정
서울우유
서울우유 아이펫밀크 180ml 10개입
29,000원
35% 18,900원
무료배송
4.8
(10,484)"
구루머스 치킨 우유껌 7개입,구루머스,"1,800원",대통령배송,"4.7
(13,262)",,https://dogpre.com/product/18984?bundleOptionId=158051,https://img.funnc.com/mobile/dogpre/product/19/18984_list_L1_8685.png,"구루머스
구루머스 치킨 우유껌 7개입
1,800원
8개 구매 시 개당 1,650원
대통령배송
4.7
(13,262)"
[유통기한 25.07.18]네츄럴랩 치카치카 우유 치실껌 M 3개입,네츄럴랩,"3,500원",대통령배송,"4.8
(17)",,https://dogpre.com/product/106845,https://img.funnc.com/mobile/dogpre/product/107/106845_list_L1_01105257.png,"네츄럴랩
[유통기한 25.07.18]네츄럴랩 치카치카 우유 치실껌 M 3개입
3,500원
대통령배송
4.8
(17)"
THINK YOUR DOG TEETH 소고기 우유껌 본 32개입,THINK YOUR DOG TEETH,"12,900원",대통령배송,"4
(1)",,https://dogpre.com/product/106480,https://img.funnc.com/mobile/dogpre/product/107/106480_list_L1_01234312.png,"2일 남음
THINK YOUR DOG TEETH
THINK YOUR DOG TEETH 소고기 우유껌 본 32개입
15,900원
19% 12,900원
대통령배송
4
(1)"
THINK YOUR DOG TEETH 치킨우유껌스틱 24개입,THINK YOUR DOG TEETH,"7,900원",대통령배송,"4.8
(426)",,https://dogpre.com/product/106466,https://img.funnc.com/mobile/dogpre/product/107/106466_list_L1_01196998.png,"THINK YOUR DOG TEETH
THINK YOUR DOG TEETH 치킨우유껌스틱 24개입
7,900원
대통령배송
4.8
(426)"
THINK YOUR DOG TEETH 연어우유껌 중 6개입,THINK YOUR DOG TEETH,"7,900원",대통령배송,"4.7
(81)",,https://dogpre.com/product/106462,https://img.funnc.com/mobile/dogpre/product/107/106462_list_L1_01835715.png,"THINK YOUR DOG TEETH
THINK YOUR DOG TEETH 연어우유껌 중 6개입
7,900원
대통령배송
4.7
(81)"
THINK YOUR DOG TEETH 소고기우유껌 중 6개입,THINK YOUR DOG TEETH,"7,900원",대통령배송,"5
(3)",,https://dogpre.com/product/106457,https://img.funnc.com/mobile/dogpre/product/107/106457_list_L1_01651019.jpg,"THINK YOUR DOG TEETH
THINK YOUR DOG TEETH 소고기우유껌 중 6개입
7,900원
대통령배송
5
(3)"
THINK YOUR DOG TEETH 오리딩고 우유껌 중 6개입,THINK YOUR DOG TEETH,"7,900원",대통령배송,"4.8
(54)",,https://dogpre.com/product/106453,https://img.funnc.com/mobile/dogpre/product/107/106453_list_L1_01279889.png,"THINK YOUR DOG TEETH
THINK YOUR DOG TEETH 오리딩고 우유껌 중 6개입
7,900원
대통령배송
4.8
(54)"
THINK YOUR DOG TEETH 오리우유껌스틱 24개입,THINK YOUR DOG TEETH,"7,900원",대통령배송,"5
(1)",,https://dogpre.com/product/106451,https://img.funnc.com/mobile/dogpre/product/107/106451_list_L1_01569410.png,"THINK YOUR DOG TEETH
THINK YOUR DOG TEETH 오리우유껌스틱 24개입
7,900원
대통령배송
5
(1)"
THINK YOUR DOG TEETH 소가죽우유껌 44개입,THINK YOUR DOG TEETH,"7,400원",대통령배송,"4.7
(101)",,https://dogpre.com/product/106447,https://img.funnc.com/mobile/dogpre/product/107/106447_list_L1_01534953.png,"THINK YOUR DOG TEETH
THINK YOUR DOG TEETH 소가죽우유껌 44개입
7,400원
대통령배송
4.7
(101)"
네츄럴코어 심플리 요거트 치킨 크랜베리 60g,네츄럴코어,"7,500원",대통령배송,"4.9
(11)",,https://dogpre.com/product/105667,https://img.funnc.com/mobile/dogpre/product/106/105667_list_L1_01478183.png,"네츄럴코어
네츄럴코어 심플리 요거트 치킨 크랜베리 60g
7,500원
대통령배송
4.9
(11)"
네츄럴코어 심플리 요거트 치킨 60g,네츄럴코어,"7,500원",대통령배송,"5
(11)",,https://dogpre.com/product/105666,https://img.funnc.com/mobile/dogpre/product/106/105666_list_L1_01257446.png,"네츄럴코어
네츄럴코어 심플리 요거트 치킨 60g
7,500원
대통령배송
5
(11)"
아껴줄게 딸기 우유 치실껌 SS 7개입,아껴줄게,"3,800원",대통령배송,"5
(2)",,https://dogpre.com/product/105573,https://img.funnc.com/mobile/dogpre/product/106/105573_list_L1_01338873.jpg,"아껴줄게
아껴줄게 딸기 우유 치실껌 SS 7개입
3,800원
대통령배송
5
(2)"
