상품명,브랜드/판매자,가격,배송정보,평점정보,성분정보,링크,이미지URL,텍스트
페슬러 느린육포 닭가슴살 대용량 육포 200g,페슬러,"14,900원",대통령배송,"5
(4)",,https://dogpre.com/product/105765,https://img.funnc.com/mobile/dogpre/product/106/105765_list_L1_01870243.jpg,"페슬러
페슬러 느린육포 닭가슴살 대용량 육포 200g
14,900원
대통령배송
5
(4)"
자연목장 쫄깃 콜라겐 육포 소고기 500g,자연목장,"13,000원",대통령배송,"5
(6)",,https://dogpre.com/product/102412,https://img.funnc.com/mobile/dogpre/product/103/102412_list_L1_01165395.png,"자연목장
자연목장 쫄깃 콜라겐 육포 소고기 500g
13,000원
대통령배송
5
(6)"
THE 건강한 형제 소간육포 75g,THE 건강한 형제,"4,900원",대통령배송,"4.7
(129)",,https://dogpre.com/product/87713,https://img.funnc.com/mobile/dogpre/product/88/87713_list_L1_01587765.png,"THE 건강한 형제
THE 건강한 형제 소간육포 75g
4,900원
대통령배송
4.7
(129)"
간택 가리비관자살 슬라이스 30g,간택,"3,600원",대통령배송,"5
(1)",,https://dogpre.com/product/106494,https://img.funnc.com/mobile/dogpre/product/107/106494_list_L1_01141318.png,"간택
간택 가리비관자살 슬라이스 30g
3,600원
대통령배송
5
(1)"
리얼미트 소 육포 슬라이스 400g,리얼미트,"15,000원",대통령배송,"5
(59)",,https://dogpre.com/product/102143,https://img.funnc.com/mobile/dogpre/product/103/102143_list_L1_01679707.png,"리얼미트
리얼미트 소 육포 슬라이스 400g
15,000원
대통령배송
5
(59)"
브리더랩 롤롤 연어&대구포 100g,브리더랩,"2,400원",대통령배송,"4.9
(1,670)",,https://dogpre.com/product/83170?bundleOptionId=,https://img.funnc.com/mobile/dogpre/product/84/83170_list_L1_01022404.png,"브리더랩
브리더랩 롤롤 연어&대구포 100g
2,400원
대통령배송
4.9
(1,670)"
버디펫푸드 슬라이스 400g,버디펫푸드,"4,600원",대통령배송,"4.7
(1,791)",,https://dogpre.com/product/9885?bundleOptionId=160971,https://img.funnc.com/mobile/dogpre/product/10/9885_list_L1_4356.png,"버디펫푸드
버디펫푸드 슬라이스 400g
6,000원
56% 4,600원
5개 구매 시 개당 4,360원
대통령배송
4.7
(1,791)"
미스터 쿡 소고기 슬라이스 300g,미스터 쿡,"2,900원",대통령배송,"4.8
(5,293)",,https://dogpre.com/product/48443?bundleOptionId=158225,https://img.funnc.com/mobile/dogpre/product/49/48443_list_L1_2256.png,"미스터 쿡
미스터 쿡 소고기 슬라이스 300g
2,900원
5개 구매 시 개당 2,750원
대통령배송
4.8
(5,293)"
진짜육포 소고기 180g,진짜육포,"6,500원",대통령배송,"4.9
(387)",,https://dogpre.com/product/105832?bundleOptionId=277321,https://img.funnc.com/mobile/dogpre/product/106/105832_list_L1_01464776.png,"진짜육포
진짜육포 소고기 180g
6,500원
3개 구매 시 개당 6,100원
대통령배송
4.9
(387)"
포켄스 뉴트리션 트릿 피부&피모 800g,포켄스,"47,000원",대통령배송,"4.8
(56)",,https://dogpre.com/product/74254,https://img.funnc.com/mobile/dogpre/product/75/74254_list_L1_01276551.png,"포켄스
포켄스 뉴트리션 트릿 피부&피모 800g
47,000원
대통령배송
4.8
(56)"
굿데이 건강한육포 닭가슴살 스틱 300g,굿데이,"11,500원",대통령배송,"4.7
(804)",,https://dogpre.com/product/99099,https://img.funnc.com/mobile/dogpre/product/100/99099_list_L1_01822889.png,"굿데이
굿데이 건강한육포 닭가슴살 스틱 300g
13,000원
35% 11,500원
대통령배송
4.7
(804)"
진짜육포 양고기 180g 3묶음,진짜육포,"18,300원",대통령배송,"4.7
(275)",,https://dogpre.com/product/105830?bundleOptionId=282232,https://img.funnc.com/mobile/dogpre/product/106/105830_list_L1_01823667.png,"진짜육포
진짜육포 양고기 180g 3묶음
18,300원
대통령배송
4.7
(275)"
진짜육포 진짜채소 단호박&유산균 180g,진짜육포,"5,500원",대통령배송,"4.9
(64)",,https://dogpre.com/product/106546,https://img.funnc.com/mobile/dogpre/product/107/106546_list_L1_01000232.png,"1일 남음
진짜육포
진짜육포 진짜채소 단호박&유산균 180g
10,000원
45% 5,500원
대통령배송
4.9
(64)"
진짜육포 진짜채소 당근&유산균 180g,진짜육포,"5,500원",대통령배송,"4.8
(74)",,https://dogpre.com/product/106545,https://img.funnc.com/mobile/dogpre/product/107/106545_list_L1_01866601.png,"1일 남음
진짜육포
진짜육포 진짜채소 당근&유산균 180g
10,000원
45% 5,500원
대통령배송
4.8
(74)"
아스쿠 게맛살 슬라이스 30g,아스쿠,"3,600원",대통령배송,"4.5
(420)",,https://dogpre.com/product/106506,https://img.funnc.com/mobile/dogpre/product/107/106506_list_L1_01607572.png,"아스쿠
아스쿠 게맛살 슬라이스 30g
3,600원
대통령배송
4.5
(420)"
아스쿠 모정 양고기&어포샌드 저키 100g,아스쿠,"4,500원",대통령배송,"4.6
(429)",,https://dogpre.com/product/106498,https://img.funnc.com/mobile/dogpre/product/107/106498_list_L1_01190450.png,"아스쿠
아스쿠 모정 양고기&어포샌드 저키 100g
4,500원
대통령배송
4.6
(429)"
진짜육포 오리고기 180g 3묶음,진짜육포,"18,300원",대통령배송,"4.8
(291)",,https://dogpre.com/product/105831?bundleOptionId=278292,https://img.funnc.com/mobile/dogpre/product/106/105831_list_L1_01244902.png,"진짜육포
진짜육포 오리고기 180g 3묶음
18,300원
대통령배송
4.8
(291)"
진짜육포 황태 180g 3묶음,진짜육포,"18,300원",대통령배송,"4.8
(233)",,https://dogpre.com/product/105829?bundleOptionId=278287,https://img.funnc.com/mobile/dogpre/product/106/105829_list_L1_01150325.png,"진짜육포
진짜육포 황태 180g 3묶음
18,300원
대통령배송
4.8
(233)"
진짜육포 연어 180g 3묶음,진짜육포,"18,300원",대통령배송,"4.9
(287)",,https://dogpre.com/product/105828?bundleOptionId=278050,https://img.funnc.com/mobile/dogpre/product/106/105828_list_L1_01286795.png,"진짜육포
진짜육포 연어 180g 3묶음
18,300원
대통령배송
4.9
(287)"
진짜육포 닭고기 180g 3묶음,진짜육포,"18,300원",대통령배송,"5
(3)",,https://dogpre.com/product/105594?bundleOptionId=277324,https://img.funnc.com/mobile/dogpre/product/107/106058_list_L1_2855.png,"진짜육포
진짜육포 닭고기 180g 3묶음
18,300원
대통령배송
5
(3)"
