상품명,브랜드/판매자,가격,배송정보,평점정보,성분정보,링크,이미지URL,텍스트
멍메이징 대용량 져키 오리 1kg,멍메이징,"12,000원",대통령배송,"5
(2)",,https://dogpre.com/product/101440,https://img.funnc.com/mobile/dogpre/product/102/101440_list_L1_01224311.png,"멍메이징
멍메이징 대용량 져키 오리 1kg
12,000원
대통령배송
5
(2)"
버틀러 하이 도넛츄 고구마 10개입,버틀러,"15,000원",무료배송,"5
(1)",,https://dogpre.com/product/102240,https://img.funnc.com/mobile/dogpre/product/103/102240_list_L1_01539626.png,"버틀러
버틀러 하이 도넛츄 고구마 10개입
15,000원
무료배송
5
(1)"
펫보타닉스 오메가 트릿 연어 340g,펫보타닉스,"15,840원",대통령배송,"4.8
(563)",,https://dogpre.com/product/52422,https://img.funnc.com/mobile/dogpre/product/53/52422_list_L1_01738096.png,"펫보타닉스
펫보타닉스 오메가 트릿 연어 340g
15,840원
대통령배송
4.8
(563)"
프레시탭 잘했어 요거트와 후르츠 트릿 260g 2묶음,프레시탭,"14,000원",무료배송,"5
(1)",,https://dogpre.com/product/103075,https://img.funnc.com/mobile/dogpre/product/104/103075_list_L1_01669106.png,"프레시탭
프레시탭 잘했어 요거트와 후르츠 트릿 260g 2묶음
14,000원
무료배송
5
(1)"
츄통령 바삭츄 미니트릿 동결건조 닭가슴살 50g,츄통령,"9,000원",대통령배송,"5
(11)",,https://dogpre.com/product/104938?bundleOptionId=265795,https://img.funnc.com/mobile/dogpre/product/105/104938_list_L1_01821448.png,"츄통령
츄통령 바삭츄 미니트릿 동결건조 닭가슴살 50g
9,000원
5개 구매 시 개당 8,500원
대통령배송
5
(11)"
츄통령 닭가슴살&황태채 2종 세트,츄통령,"11,400원",대통령배송,"5
(26)",,https://dogpre.com/product/101298,https://img.funnc.com/mobile/dogpre/product/102/101298_list_L1_01101295.png,"츄통령
츄통령 닭가슴살&황태채 2종 세트
19,000원
30% 11,400원
대통령배송
5
(26)"
더텐 헬씨트릿 인섹트&알러지 300g,더텐,"9,900원",무료배송,"5
(14)",,https://dogpre.com/product/94967,https://img.funnc.com/mobile/dogpre/product/95/94967_list_L1_02701907.png,"더텐
더텐 헬씨트릿 인섹트&알러지 300g
9,900원
무료배송
5
(14)"
[버라이어티팩] 츄통령 바삭츄 동결건조 미니트릿 3종 세트,츄통령,"28,900원",대통령배송,"4.6
(8)",,https://dogpre.com/product/105043,https://img.funnc.com/mobile/dogpre/product/106/105043_list_L1_01743746.png,"츄통령
[버라이어티팩] 츄통령 바삭츄 동결건조 미니트릿 3종 세트
28,900원
대통령배송
4.6
(8)"
이나바 완츄르 구강건강케어 닭가슴살 4개입,이나바,"2,300원",대통령배송,"4.7
(38)",,https://dogpre.com/product/101893,https://img.funnc.com/mobile/dogpre/product/102/101893_list_L1_01421936.png,"이나바
이나바 완츄르 구강건강케어 닭가슴살 4개입
2,300원
대통령배송
4.7
(38)"
찹찹츄 양고기 큐브 300g,찹찹츄,"2,000원",대통령배송,"5
(1)",,https://dogpre.com/product/106299,https://img.funnc.com/mobile/dogpre/product/107/106299_list_L1_01857747.jpg,"찹찹츄
찹찹츄 양고기 큐브 300g
2,000원
대통령배송
5
(1)"
츄통령 멍츄 한우 불리스틱 소형 3개입 (35g),츄통령,"13,000원",대통령배송,"4.9
(9,953,095)",,https://dogpre.com/product/86135?bundleOptionId=281388,https://img.funnc.com/mobile/dogpre/product/87/86135_list_L1_01396728.png,"츄통령
츄통령 멍츄 한우 불리스틱 소형 3개입 (35g)
13,000원
3개 구매 시 개당 12,500원
대통령배송
4.9
(9,953,095)"
펫츠프라임 건강한 소고기져키 100g,펫츠프라임,"2,000원",대통령배송,"4.8
(659)",,https://dogpre.com/product/79873,https://img.funnc.com/mobile/dogpre/product/80/79873_list_L1_01534844.png,"펫츠프라임
펫츠프라임 건강한 소고기져키 100g
2,000원
대통령배송
4.8
(659)"
